inv_nb,laying,day,month,year
17V,13/01/2021,13,1,2021
V,13/01/2021,13,1,2021
7V,22/01/2021,22,1,2021
53V,22/01/2021,22,1,2021
15V,01/02/2021,1,2,2021
40V,01/02/2021,1,2,2021
20V,10/02/2021,10,2,2021
29V,08/02/2021,8,2,2021
30V,08/02/2021,8,2,2021
33V,19/02/2021,19,2,2021
16V,27/02/2021,27,2,2021
48V,27/02/2021,27,2,2021
54V,08/03/2021,8,3,2021
271V,19/03/2021,19,3,2021
51V,19/03/2021,19,3,2021
13V,25/03/2021,25,3,2021
23V,25/03/2021,25,3,2021
47V,05/04/2021,5,4,2021
35V,05/04/2021,5,4,2021
11V,15/04/2021,15,4,2021
31V,15/04/2021,15,4,2021
37V,24/04/2021,24,4,2021
38V,24/04/2021,24,4,2021
50V,03/05/2021,3,5,2021
24V,03/05/2021,3,5,2021
39V,21/05/2021,21,5,2021
52V,27/05/2021,27,5,2021
46V,01/06/2021,1,6,2021
26V,01/06/2021,1,6,2021
V,10/06/2021,10,6,2021
V,10/06/2021,10,6,2021
V,09/07/2021,9,7,2021
V,09/07/2021,9,7,2021
55V,26/07/2021,26,7,2021
6V,03/08/2021,3,8,2021
28V,03/08/2021,3,8,2021
8V,13/08/2021,13,8,2021
10V,13/08/2021,13,8,2021
21V,27/09/2021,27,9,2021
25V,27/09/2021,27,9,2021
9V,06/10/2021,6,10,2021
45V,06/10/2021,6,10,2021
63V,28/12/2021,28,12,2021
66V,28/12/2021,28,12,2021
37J,15/01/2022,15,1,2022
38J,15/01/2022,15,1,2022
28J,06/02/2022,6,2,2022
73J,06/02/2022,6,2,2022
13J,11/02/2022,11,2,2022
27J,11/02/2022,11,2,2022
160J,28/02/2022,28,2,2022
70J,28/02/2022,28,2,2022
50J,09/03/2022,9,3,2022
36J,09/03/2022,9,3,2022
65J,28/03/2022,28,3,2022
J,28/03/2022,28,3,2022
J,28/03/2022,28,3,2022
29J,06/04/2022,6,4,2022
J,06/04/2022,6,4,2022
39J,14/04/2022,14,4,2022
56J,14/04/2022,14,4,2022
29J,20/04/2022,20,4,2022
17J,02/05/2022,2,5,2022
11J,02/05/2022,2,5,2022
7J,11/05/2022,11,5,2022
J,11/05/2022,11,5,2022
58J,18/05/2022,18,5,2022
57J,18/05/2022,18,5,2022
10J,10/06/2022,10,6,2022
74J,10/06/2022,10,6,2022
34J,17/06/2022,17,6,2022
72J,17/06/2022,17,6,2022
J,22/06/2022,22,6,2022
18J,24/06/2022,24,6,2022
42J,01/07/2022,1,7,2022
56J,01/07/2022,1,7,2022
59J,08/07/2022,8,7,2022
71J,08/07/2022,8,7,2022
63J,08/08/2022,8,8,2022
J,10/08/2022,10,8,2022
44J,17/08/2022,17,8,2022
12J,17/08/2022,17,8,2022
26J,26/08/2022,26,8,2022
76J,26/08/2022,26,8,2022
14J,04/09/2022,4,9,2022
77J,04/09/2022,4,9,2022
41J,12/09/2022,12,9,2022
42J,12/09/2022,12,9,2022
1J,29/09/2022,29,9,2022
49J,29/09/2022,29,9,2022
J,07/10/2022,7,10,2022
J,09/10/2022,9,10,2022
20J,17/10/2022,17,10,2022
22J,17/10/2022,17,10,2022
J,27/10/2022,27,10,2022
15J,02/11/2022,2,11,2022
23J,02/11/2022,2,11,2022
55J,21/11/2022,21,11,2022
J,07/12/2022,7,12,2022
J,11/12/2022,11,12,2022
J,11/12/2022,11,12,2022
54J,22/12/2022,22,12,2022
152J,29/12/2022,29,12,2022
25R,12/01/2023,12,1,2023
27R,23/01/2023,23,1,2023
12R,23/01/2023,23,1,2023
47R,12/02/2023,12,2,2023
R,12/02/2023,12,2,2023
R,19/02/2023,19,2,2023
R,19/02/2023,19,2,2023
29R,28/02/2023,28,2,2023
R,10/03/2023,10,3,2023
13R,16/03/2023,16,3,2023
24R,16/03/2023,16,3,2023
