spec_nb,sex,weight,length,surv_days,hatching,death,origin
AMN8,i,NA,6,7,24/07/2013,31/07/2013,cb
AMN9,i,NA,8,1,01/09/2013,02/09/2013,cb
AMN10,i,NA,12,7,16/09/2013,23/09/2013,cb
AMN15,m,NA,10.5,4,19/08/2018,23/08/2018,cb
AMN16,f,9.5,NA,5,01/10/2018,06/10/2018,cb
AMN17,i,NA,NA,2,19/11/2018,21/11/2018,cb
AMN18,f,7,8.5,7,19/11/2018,26/11/2018,cb
AMN19,i,NA,NA,218,13/12/2018,19/07/2019,cb
AMN20,i,NA,NA,15,22/12/2018,06/01/2019,cb
AMN21,i,NA,NA,4,07/01/2019,11/01/2019,cb
AMN22,i,NA,NA,17,09/01/2019,26/01/2019,cb
AMN23,f,8,9.5,10,22/01/2019,01/02/2019,cb
AMN24,i,NA,NA,6,02/02/2019,08/02/2019,cb
AMN25,i,NA,NA,5,11/02/2019,16/02/2019,cb
AMN26,i,NA,NA,156,13/02/2019,19/07/2019,cb
AMN27,i,NA,NA,3,23/02/2019,26/02/2019,cb
AMN28,f,NA,NA,1612,07/03/2019,05/08/2023,cb
AMN29,m,225,35,1248,20/03/2019,19/08/2022,cb
AMN30,m,NA,NA,1615,28/03/2019,,cb
AMN31,i,NA,NA,32,04/04/2019,06/05/2019,cb
AMN32,i,NA,NA,7,07/04/2019,14/04/2019,cb
AMN33,i,NA,NA,4,08/04/2019,12/04/2019,cb
AMN34,f,77,24.5,639,09/04/2019,07/01/2021,cb
AMN35,f,NA,NA,1554,28/05/2019,,cb
AMN36,f,NA,NA,602,03/06/2019,25/01/2021,cb
AMN37,i,NA,NA,4,25/06/2019,29/06/2019,cb
AMN39,i,NA,NA,22,04/07/2019,26/07/2019,cb
AMN40,i,NA,NA,1,13/08/2019,14/08/2019,cb
AMN41,i,NA,NA,4,01/09/2019,05/09/2019,cb
AMN43,i,NA,NA,24,27/09/2019,21/10/2019,cb
AMN44,i,NA,NA,7,06/10/2019,13/10/2019,cb
AMN45,i,NA,NA,3,21/10/2019,24/10/2019,cb
AMN46,f,6,10.5,5,03/08/2020,08/08/2020,cb
AMN47,f,5,8,20,03/08/2020,23/08/2020,cb
AMN48,m,5,9,5,09/09/2020,14/09/2020,cb
AMN49,m,11.9,13,209,23/09/2020,20/04/2021,cb
AMN50,f,12,13,150,04/12/2020,03/05/2021,cb
AMN51,f,NA,NA,3,28/12/2020,31/12/2020,cb
AMN52,f,6.47,10.5,9,21/02/2021,02/03/2021,cb
AMN53,f,NA,NA,3,27/02/2021,02/03/2021,cb
AMN54,i,8,11.7,23,27/02/2021,22/03/2021,cb
AMN55,f,6,9,20,07/04/2021,27/04/2021,cb
AMN56,m,12,17,102,08/04/2021,19/07/2021,cb
AMN57,m,NA,NA,3,09/04/2021,12/04/2021,cb
AMN58,f,5.8,10,8,22/04/2021,30/04/2021,cb
AMN59,m,10,12,17,23/04/2021,10/05/2021,cb
AMN60,m,6.41,9.7,3,24/04/2021,27/04/2021,cb
AMN61,f,5,13,12,01/05/2021,13/05/2021,cb
AMN62,i,5,9,1,29/05/2021,30/05/2021,cb
AMN63,m,6,10,41,13/05/2021,23/06/2021,cb
AMN64,f,5.4,9.8,14,13/06/2021,27/06/2021,cb
AMN65,f,6,10,1,10/07/2021,11/07/2021,cb
AMN66,m,5,9,10,28/07/2021,07/08/2021,cb
AMN67,f,4.7,10,15,02/08/2021,17/08/2021,cb
AMN68,m,6,12,53,04/08/2021,26/09/2021,cb
AMN69,i,NA,NA,91,04/08/2021,03/11/2021,cb
AMN70,f,NA,NA,93,05/08/2021,06/11/2021,cb
AMN72,f,5.7,7.5,80,23/09/2021,12/12/2021,cb
AMN73,f,NA,NA,7,27/10/2021,03/11/2021,cb
AMN74,f,6.7,10,36,04/11/2021,10/12/2021,cb
AMN75,m,7,10.5,29,08/12/2021,06/01/2022,cb
AMN76,i,NA,NA,2,16/12/2021,18/12/2021,cb
AMN77,f,5.9,9,6,17/12/2021,23/12/2021,cb
AMN78,f,15.9,18.1,249,23/12/2021,29/08/2022,cb
AMN79,m,6,9,3,17/01/2022,22/01/2022,cb
AMN80,f,6,10,12,17/01/2022,29/01/2022,cb
AMN81,m,18.9,17.5,222,19/01/2022,29/08/2022,cb
AMN82,f,7.36,7.5,18,04/02/2022,22/02/2022,cb
AMN83,m,6.0,12.0,119,04/02/2022,03/06/2022,cb
AMN84,f,8.2,12,102,23/02/2022,05/06/2022,cb
AMN85,m,6.14,10,3,05/03/2022,08/03/2022,cb
AMN86,f,5.17,9.7,12,22/06/2022,04/07/2022,cb
AMN87,f,4.87,8.6,24,01/07/2022,25/07/2022,cb
AMN88,f,5.6,11,12,23/07/2022,04/08/2022,cb
AMN89,f,5.86,9.9,52,08/08/2022,29/09/2022,cb
AMN90,f,4.93,9,42,18/08/2022,29/09/2022,cb
AMN91,f,5.5,10.5,21,19/08/2022,09/09/2022,cb
AMN92,f,5.46,9.8,55,20/09/2022,30/11/2022,cb
AMN93,f,NA,NA,326,07/10/2022,,cb
AMN94,f,4.8,9.0,1,24/10/2022,25/10/2022,cb
AMN95,m,5.7,9.2,0,03/11/2022,03/11/2022,cb
AMN96,m,5.2,8.0,14,23/12/2022,06/01/2023,cb
AMN97,m,NA,NA,245,27/12/2022,,cb
AMN98,m,5,9.5,8,24/04/2023,02/05/2023,cb
AMN99,m,6.8,8,2,02/07/2023,04/07/2023,cb
